page,book_page,section,status,image,transcription,discord_channel,notes
intro-00,0,,front-matter,images/intro-00.jpg,,solved-pages,"title page — ""Liber Primus"""
intro-01,1,0.0,solved,images/intro-01.jpg,transcription/intro-01.txt,solved-pages,
intro-02,2,,front-matter,images/intro-02.jpg,,solved-pages,"chapter divider — ""Chapter 1 / Intus"""
intro-03,3,0.1,solved,images/intro-03.jpg,transcription/intro-03.txt,solved-pages,
intro-04,4,0.1,solved,images/intro-04.jpg,transcription/intro-04.txt,solved-pages,
intro-05,5,0.1,solved,images/intro-05.jpg,transcription/intro-05.txt,solved-pages,
intro-06,6,0.2,solved,images/intro-06.jpg,transcription/intro-06.txt,solved-pages,
intro-07,7,0.2,solved,images/intro-07.jpg,transcription/intro-07.txt,solved-pages,
intro-08,8,0.2,solved,images/intro-08.jpg,transcription/intro-08.txt,solved-pages,
intro-09,9,0.2,solved,images/intro-09.jpg,transcription/intro-09.txt,solved-pages,
intro-10,10,0.3,solved,images/intro-10.jpg,transcription/intro-10.txt,solved-pages,
intro-11,11,0.3,solved,images/intro-11.jpg,transcription/intro-11.txt,solved-pages,
intro-12,12,0.3,solved,images/intro-12.jpg,transcription/intro-12.txt,solved-pages,
intro-13,13,0.3,solved,images/intro-13.jpg,transcription/intro-13.txt,solved-pages,
intro-14,14,0.4,solved,images/intro-14.jpg,transcription/intro-14.txt,solved-pages,
intro-15,15,0.4,solved,images/intro-15.jpg,transcription/intro-15.txt,solved-pages,
intro-16,16,0.4,solved,images/intro-16.jpg,transcription/intro-16.txt,solved-pages,
page-00,17,0.5,unsolved,images/page-00.jpg,transcription/page-00.txt,0-2,
page-01,18,0.5,unsolved,images/page-01.jpg,transcription/page-01.txt,0-2,
page-02,19,0.5,unsolved,images/page-02.jpg,transcription/page-02.txt,0-2,
page-03,20,0.6,unsolved,images/page-03.jpg,transcription/page-03.txt,3-7,
page-04,21,0.6,unsolved,images/page-04.jpg,transcription/page-04.txt,3-7,
page-05,22,0.6,unsolved,images/page-05.jpg,transcription/page-05.txt,3-7,
page-06,23,0.6,unsolved,images/page-06.jpg,transcription/page-06.txt,3-7,
page-07,24,0.6,unsolved,images/page-07.jpg,transcription/page-07.txt,3-7,
page-08,25,0.7,unsolved,images/page-08.jpg,transcription/page-08.txt,8-14,
page-09,26,0.7,unsolved,images/page-09.jpg,transcription/page-09.txt,8-14,
page-10,27,0.7,unsolved,images/page-10.jpg,transcription/page-10.txt,8-14,
page-11,28,0.7,unsolved,images/page-11.jpg,transcription/page-11.txt,8-14,
page-12,29,0.7,unsolved,images/page-12.jpg,transcription/page-12.txt,8-14,
page-13,30,0.7,unsolved,images/page-13.jpg,transcription/page-13.txt,8-14,
page-14,31,0.7,unsolved,images/page-14.jpg,transcription/page-14.txt,8-14,
page-15,32,0.8,unsolved,images/page-15.jpg,transcription/page-15.txt,15-22,
page-16,33,0.8,unsolved,images/page-16.jpg,transcription/page-16.txt,15-22,
page-17,34,0.8,unsolved,images/page-17.jpg,transcription/page-17.txt,15-22,
page-18,35,0.8,unsolved,images/page-18.jpg,transcription/page-18.txt,15-22,
page-19,36,0.8,unsolved,images/page-19.jpg,transcription/page-19.txt,15-22,
page-20,37,0.8,unsolved,images/page-20.jpg,transcription/page-20.txt,15-22,
page-21,38,0.8,unsolved,images/page-21.jpg,transcription/page-21.txt,15-22,
page-22,39,0.8,unsolved,images/page-22.jpg,transcription/page-22.txt,15-22,
page-23,40,0.9,unsolved,images/page-23.jpg,transcription/page-23.txt,23-26,
page-24,41,0.9,unsolved,images/page-24.jpg,transcription/page-24.txt,23-26,
page-25,42,0.9,unsolved,images/page-25.jpg,transcription/page-25.txt,23-26,
page-26,43,0.9,unsolved,images/page-26.jpg,transcription/page-26.txt,23-26,
page-27,44,0.10,unsolved,images/page-27.jpg,transcription/page-27.txt,27-32,
page-28,45,0.10,unsolved,images/page-28.jpg,transcription/page-28.txt,27-32,
page-29,46,0.10,unsolved,images/page-29.jpg,transcription/page-29.txt,27-32,
page-30,47,0.10,unsolved,images/page-30.jpg,transcription/page-30.txt,27-32,
page-31,48,0.10,unsolved,images/page-31.jpg,transcription/page-31.txt,27-32,
page-32,49,0.10,unsolved,images/page-32.jpg,transcription/page-32.txt,27-32,
page-33,50,0.11,unsolved,images/page-33.jpg,transcription/page-33.txt,33-39,
