sentence_id,section,runes,english
0.0.0.0,0.0,ᚱ ᛝᚱᚪᛗᚹ,A WARNING
0.0.0.1,0.0,ᛄᛁᚻᛖᛁᛡᛁ ᛗᚫᚣᚹ ᛠᚪᚫᚾ ᚣᛖᛈ ᛄᚫᚫᛞ,BELIEVE NOTHING FROM THIS BOOK
0.0.0.2,0.0,ᛁᛉᛞᛁᛋᛇ ᛝᛚᚱᛇ ᚦᚫᛡ ᛞᛗᚫᛝ ᛇᚫ ᛄᛁ ᛇᚪᛡᛁ,EXCEPT WHAT YOU KNOW TO BE TRUE
0.0.0.3,0.0,ᛇᛁᛈᛇ ᚣᛁ ᛞᛗᚫᛝᚻᛁᚳᛟᛁ,TEST THE KNOWLEDGE
0.0.0.4,0.0,ᛠᛖᛗᚳ ᚦᚫᛡᚪ ᛇᚪᛡᚣ,FIND YOUR TRUTH
0.0.0.5,0.0,ᛁᛉᛋᛁᚪᛖᛁᛗᛞᛁ ᚦᚫᛡᚪ ᚳᚠᚣ,EXPERIENCE YOUR DEATH
0.0.0.6,0.0,ᚳᚫ ᛗᚫᛇ ᛁᚳᛖᛇ ᚫᚪ ᛞᛚᚱᚹᛁ ᚣᛖᛈ ᛄᚫᚫᛞ,DO NOT EDIT OR CHANGE THIS BOOK
0.0.0.7,0.0,ᚫᚪ ᚣᛁ ᚾᛁᛈᛈᚱᛟᛁ ᛞᚫᛗᛇᚱᛖᛗᛁᚳ ᛝᛖᚣᛖᛗ,OR THE MESSAGE CONTAINED WITHIN
0.0.0.8,0.0,ᛁᛖᚣᛁᚪ ᚣᛁ ᛝᚫᚪᚳᛈ ᚫᚪ ᚣᛁᛖᚪ ᛗᛡᚾᛄᛁᚪᛈ,EITHER THE WORDS OR THEIR NUMBERS
0.0.0.9,0.0,ᛠᚫᚪ ᚱᚻᚻ ᛖᛈ ᛈᚱᛞᚪᛁᚳ,FOR ALL IS SACRED
0.1.0.0,0.1,ᚢᛠᛝᛋᛇᚠᚳ,WELCOME
0.1.0.1,0.1,ᚱᛇᚢᚷᛈᛠᛠ ᚠᚹᛉᛏᚳᛚᛠ ᚣᛗ ᛠᛇ ᛏᚳᚾᚫ ᛝᛗᛡᛡᛗᛗᚹ ᚫᛈᛞᛝᛡᚱ ᚩᛠ ᛡᛗᛁ ᚠᚠ ᛖᚢᛝ ᛇᚢᚫ,"WELCOME, PILGRIM, TO THE GREAT JOURNEY TOWARD THE END OF ALL THINGS"
0.1.0.2,0.1,ᚣᛈ ᚱᚫ ᛁᛈᚫ ᚳᚫ ᚫᚾᚹ ᛒᛉᛗᛞ ᚱᛡᛁ ᚠᛈᚳ ᛇᛇᚫᚳ ᚱᚦᛈ ᚠᛄᛗᚩ ᛇᚳᚹᛡ ᛒᚫᚹ ᛒᛠᛚᛋ ᚱᚣ ᛄᚫ ᚱ ᛗᚳᚦᛇᚫᛏᚳᛈᚹ ᛗᚷᛇ,"IT IS NOT AN EASY TRIP, BUT FOR THOSE WHO FIND THEIR WAY HERE IT IS A NECESSARY ONE"
0.1.0.3,0.1,ᚳᛝᛈᚢ ᛇᚳ ᚱᛖᚹ ᛡᛈᛁ ᛒᚣᛒᛉ ᚠᛚᛁᚱ ᚱᛗ ᚳᚷᛒ ᚣᚱ ᚳᚠᚢ ᚦᛈᛡᛄᚹᛏᚠᛠ ᛄᚷᛒ ᚫᚦᚠᚠᛠᛈᚦ ᛈᚠᚪᛉ ᛄᛗᛖᛈᛝᛋᚩᛋᛗ ᚹᛇᛄᛚ ᚹᛉᚢᚦᚫᚹᛗᚦ ᛞᚣᛄᚳ ᛋᛡᛉᚩᛝᚱᛗᛒᚹ ᚱᛗᛁ ᛞᚣᛄᚳ ᛉᚻᚢᚣᛈᛚ,"ALONG THE WAY YOU WILL FIND AN END TO ALL STRUGGLE AND SUFFERING, YOUR INNOCENCE, YOUR ILLUSIONS, YOUR CERTAINTY, AND YOUR REALITY"
0.1.0.4,0.1,ᛄᛝᚣᛗᚠᛄᛈᛇᚢᛡ ᚹᛇᛄ ᛞᚹᛉᚢ ᚪᛚᚪᛋᛗᛡᛇᛉ ᚫᛗ ᛡᛗᛁ ᛈᚣ ᚫᛗᚢᚠ,"ULTIMATELY, YOU WILL DISCOVER AN END TO SELF"
0.1.0.5,0.1,ᛗᚣ ᚣᛇ ᚫᛉᚱᛄᛋᛖ ᛖᚹᚾ ᛞᛄᚢᛋᛉᚣᛏᛖᛏᛗ ᛇᚱᚣ ᛞᛋ ᚾᛖᚫᛞᛡ ᛈᛒᚢᚾᛠᛝᛄᛡᚫ ᛄᚷᛒ ᛈᚦᛉ ᛈᚾᚹᚹᛁᛚᛗᚫ,IT IS THROUGH THIS PILGRIMAGE THAT WE SHAPE OURSELVES AND OUR REALITIES
0.1.0.6,0.1,ᛚᛈᛒᚢᚩᛠᛡ ᚱᛡᛠᚠ ᚱᚱᛇᛄᛗ ᚱᛗᛁ ᛞᚣᛄ ᚻᛚᚠᚢ ᛄᚢᛡᛚᚦᛠ ᛇᛄᚩᛇᚱᚱᛗ,JOURNEY DEEP WITHIN AND YOU WILL ARRIVE OUTSIDE
0.1.0.7,0.1,ᚢᛗᛋᚳ ᛠᛇ ᛚᛁᚫᚫᚳᛚ ᚹᛁ ᛚᛏ ᛈᛖᚢᛈ ᛠᛡᛈᚦᛏᛒ ᛏᛗᛖ ᚢᛚᚩᛚᛖ ᛇᛄᛈ ᚢᛠ ᛚᚳᚷ ᛠᚷᛋᛡᛏᛗ,"LIKE THE INSTAR, IT IS ONLY THROUGH GOING WITHIN THAT WE MAY EMERGE"
0.1.1.0,0.1,ᛒᛗᚱᚦᚠᛈ,WIDSOM
0.1.1.1,0.1,ᚹᚱᛄ ᚱᛉᚳ ᛝ ᛄᛠᛟ ᛄᛖᚣᛗ ᛞᚣᛄᚳᚫᛡᚢᚠ,YOU ARE A BEING UNTO YOURSELF
0.1.1.2,0.1,ᛈᚠᚪ ᚳᚳᛠ ᚱ ᚢᛄᚱ ᚪᛗᛒᛈ ᚷᛈᛒᚢᚾᛠᛝᚠ,YOU ARE A LAW UNTO YOURSELF
0.1.1.3,0.1,ᚾᛉᛖ ᚣᚷᛁᛠᛝᚢᛗᛏᚳᚷᛠᛠ ᛄᚫ ᛒᛈᚹᛞ,EACH INTELLIGENCE IS HOLY
0.1.1.4,0.1,ᚠᚣᛉ ᚫᚢᚠ ᛇᛄᛈ ᛉᛚᚦᛠᚪ ᛚᚦ ᚳᚣᚢᛡ,FOR ALL THAT LIVES IS HOLY
0.1.1.5,0.1,ᚳᛖ ᛚᚫᛇᛁᛉᚦᛋᚫᚻᚫ ᚦᚣᚠᛚᚳᛖᚱ ᛈᚠᚪᛉ ᚱᛒᛖ ᚫᚳᛒᚠ,AN INSTRUCTION COMMAND YOUR OWN SELF
0.1.2.0,0.1,ᛋᚩᛗᛖ ᚹᛁᛋᛞᚩᛗ,SOME WISDOM
0.1.2.1,0.1,ᚦᛖ ᛈᚱᛁᛗᛖᛋ ᚪᚱᛖ ᛋᚪᚳᚱᛖᛞ,THE PRIMES ARE SACRED
0.1.2.2,0.1,ᚦᛖ ᛏᚩᛏᛁᛖᚾᛏ ᚠᚢᚾᚳᛏᛡᚾ ᛁᛋ ᛋᚪᚳᚱᛖᛞ,THE TOTIENT FUNCTION IS SACRED
0.1.2.3,0.1,ᚪᛚᛚ ᚦᛝᛋ ᛋᚻᚩᚢᛚᛞ ᛒᛖ ᛖᚾᚳᚱᚣᛈᛏᛖᛞ,ALL THINGS SHOULD BE ENCRYPTED
0.1.3.0,0.1,ᚳᚾᚩᚹ ᚦᛁᛋ,KNOW THIS
0.2.0.0,0.2,ᚹ ᚣᛠᚹᛟ,A KOAN
0.2.0.1,0.2,ᚹ ᛇᚹᛟ ᚻᛈᚣᛝᚻᛈᚻ ᛋᛠ ᚫᛠ ᚹᛟᚻ ᛏᛋᚢᚻᚳ ᚪᛝᚠ ᚹ ᛇᚹᛏᛋᛈᛡ,A MAN DECIDED TO GO AND STUDY WITH A MASTER
0.2.0.2,0.2,ᛞᛈ ᚪᛈᛟᛋ ᛋᛠ ᚠᛈ ᚻᛠᛠᛡ ᛠᚦ ᚠᛈ ᛇᚹᛏᛋᛈᛡ,HE WENT TO THE DOOR OF THE MASTER
